Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-04,19:00:00,1.82223,1.82279,1.82124,1.82245,0,0
2014-11-04,20:00:00,1.82244,1.82362,1.82211,1.82281,0,0
2014-11-04,21:00:00,1.82286,1.82415,1.82216,1.82269,0,0
2014-11-04,22:00:00,1.82264,1.82513,1.82264,1.82513,0,0
2014-11-04,23:00:00,1.82508,1.82551,1.8243,1.82532,0,0
2014-11-04,23:59:00,1.82557,1.82609,1.82377,1.82431,0,0
2014-11-05,01:00:00,1.82443,1.8247,1.82279,1.82311,0,0
2014-11-05,02:00:00,1.8231,1.82388,1.82288,1.82343,0,0
2014-11-05,03:00:00,1.82343,1.82546,1.82336,1.8254,0,0
2014-11-05,04:00:00,1.82533,1.82539,1.82428,1.82483,0,0
2014-11-05,05:00:00,1.82485,1.82502,1.82379,1.82415,0,0
2014-11-05,06:00:00,1.8242,1.82621,1.82408,1.82583,0,0
2014-11-05,07:00:00,1.8259,1.82627,1.82409,1.8247,0,0
2014-11-05,08:00:00,1.82457,1.82618,1.82118,1.82377,0,0
2014-11-05,09:00:00,1.82375,1.82598,1.82366,1.82497,0,0
2014-11-05,10:00:00,1.82498,1.82596,1.82368,1.82551,0,0
2014-11-05,11:00:00,1.82559,1.82611,1.81898,1.81971,0,0
2014-11-05,12:00:00,1.8197,1.82144,1.81638,1.81718,0,0
2014-11-05,13:00:00,1.8172,1.81986,1.81697,1.81966,0,0
2014-11-05,14:00:00,1.81944,1.82063,1.81864,1.81888,0,0
2014-11-05,15:00:00,1.81888,1.82348,1.81799,1.82348,0,0
2014-11-05,16:00:00,1.82367,1.82713,1.82233,1.82479,0,0
2014-11-05,17:00:00,1.82494,1.8265,1.81873,1.81886,0,0
2014-11-05,18:00:00,1.81883,1.82145,1.81819,1.81822,0,0
2014-11-05,19:00:00,1.81823,1.81972,1.81748,1.81889,0,0
2014-11-05,20:00:00,1.81902,1.82166,1.81853,1.8215,0,0
2014-11-05,21:00:00,1.8215,1.82184,1.82067,1.82114,0,0
2014-11-05,22:00:00,1.82108,1.82135,1.81928,1.81958,0,0
2014-11-05,23:00:00,1.81942,1.8201,1.81872,1.81872,0,0
2014-11-05,23:59:00,1.81866,1.81929,1.81815,1.81877,0,0
2014-11-06,01:00:00,1.81877,1.81919,1.81788,1.81888,0,0
2014-11-06,02:00:00,1.81892,1.82003,1.81852,1.8196,0,0
2014-11-06,03:00:00,1.81966,1.82099,1.81966,1.82039,0,0
2014-11-06,04:00:00,1.82039,1.82061,1.8188,1.81997,0,0
2014-11-06,05:00:00,1.81984,1.82141,1.81955,1.82109,0,0
2014-11-06,06:00:00,1.82106,1.82122,1.81906,1.81911,0,0
2014-11-06,07:00:00,1.81919,1.82056,1.81901,1.81934,0,0
2014-11-06,08:00:00,1.81927,1.82118,1.81924,1.82078,0,0
2014-11-06,09:00:00,1.82084,1.82125,1.81997,1.82057,0,0
2014-11-06,10:00:00,1.82048,1.82182,1.81992,1.82073,0,0
2014-11-06,11:00:00,1.82076,1.82209,1.81928,1.81988,0,0
2014-11-06,12:00:00,1.81973,1.82031,1.81689,1.81777,0,0
2014-11-06,13:00:00,1.81782,1.81944,1.81698,1.81828,0,0
2014-11-06,14:00:00,1.81835,1.81879,1.81631,1.81723,0,0
2014-11-06,15:00:00,1.8171,1.81858,1.81463,1.81535,0,0
2014-11-06,16:00:00,1.8152,1.81754,1.81327,1.81459,0,0
2014-11-06,17:00:00,1.81509,1.81971,1.81438,1.8147,0,0
2014-11-06,18:00:00,1.81487,1.81667,1.81159,1.81159,0,0
2014-11-06,19:00:00,1.81175,1.81355,1.81129,1.81187,0,0
2014-11-06,20:00:00,1.81201,1.81224,1.80966,1.80982,0,0
2014-11-06,21:00:00,1.80988,1.81121,1.8086,1.80907,0,0
2014-11-06,22:00:00,1.80903,1.8097,1.80864,1.80889,0,0
2014-11-06,23:00:00,1.80882,1.80957,1.8074,1.8082,0,0
2014-11-06,23:59:00,1.80805,1.80938,1.80749,1.8093,0,0
2014-11-07,01:00:00,1.80905,1.81002,1.80905,1.80998,0,0
2014-11-07,02:00:00,1.80981,1.81059,1.80904,1.80971,0,0
2014-11-07,03:00:00,1.8098,1.81094,1.80932,1.81051,0,0
2014-11-07,04:00:00,1.81051,1.81178,1.81051,1.81131,0,0
2014-11-07,05:00:00,1.81131,1.81154,1.81014,1.81047,0,0
2014-11-07,06:00:00,1.81047,1.81068,1.80946,1.8099,0,0
2014-11-07,07:00:00,1.80993,1.81063,1.80942,1.81063,0,0
2014-11-07,08:00:00,1.81046,1.81193,1.81012,1.81143,0,0
2014-11-07,09:00:00,1.81146,1.8124,1.81056,1.81205,0,0
2014-11-07,10:00:00,1.81205,1.81237,1.80902,1.80925,0,0
2014-11-07,11:00:00,1.80921,1.81122,1.80681,1.8076,0,0
2014-11-07,12:00:00,1.80763,1.80988,1.80747,1.80917,0,0
2014-11-07,13:00:00,1.80936,1.80997,1.80776,1.80997,0,0
2014-11-07,14:00:00,1.80974,1.81097,1.80869,1.80955,0,0
2014-11-07,15:00:00,1.80958,1.81047,1.79407,1.79583,0,0
2014-11-07,16:00:00,1.79586,1.79951,1.79576,1.79805,0,0
2014-11-07,17:00:00,1.79832,1.79881,1.7959,1.79784,0,0
2014-11-07,18:00:00,1.79806,1.80063,1.79791,1.7996,0,0
2014-11-07,19:00:00,1.79961,1.80044,1.79772,1.79802,0,0
2014-11-07,20:00:00,1.79828,1.79877,1.79481,1.79569,0,0
2014-11-07,21:00:00,1.79578,1.79727,1.79506,1.79725,0,0
2014-11-07,22:00:00,1.79718,1.8002,1.79718,1.79885,0,0
2014-11-07,23:00:00,1.79858,1.79858,1.79858,1.79858,0,0
2014-11-10,01:00:00,1.79845,1.79956,1.79691,1.79896,0,0
2014-11-10,02:00:00,1.79882,1.79932,1.79837,1.79837,0,0
2014-11-10,03:00:00,1.79837,1.79967,1.79823,1.79949,0,0
2014-11-10,04:00:00,1.79925,1.80055,1.79878,1.80041,0,0
2014-11-10,05:00:00,1.80044,1.80052,1.79892,1.79897,0,0
2014-11-10,06:00:00,1.79906,1.80006,1.79903,1.79995,0,0
2014-11-10,07:00:00,1.79989,1.80039,1.79917,1.80011,0,0
2014-11-10,08:00:00,1.80017,1.8011,1.79968,1.80037,0,0
2014-11-10,09:00:00,1.80039,1.80148,1.79947,1.80121,0,0
2014-11-10,10:00:00,1.80118,1.80118,1.79909,1.79953,0,0
2014-11-10,11:00:00,1.79956,1.8006,1.79873,1.79945,0,0
2014-11-10,12:00:00,1.79945,1.7999,1.79657,1.79801,0,0
2014-11-10,13:00:00,1.79804,1.79808,1.79653,1.79729,0,0
2014-11-10,14:00:00,1.79782,1.79821,1.79704,1.79746,0,0
2014-11-10,15:00:00,1.79754,1.80017,1.79739,1.79891,0,0
2014-11-10,16:00:00,1.79891,1.79891,1.79655,1.79706,0,0
2014-11-10,17:00:00,1.79706,1.79841,1.79546,1.79731,0,0
2014-11-10,18:00:00,1.79654,1.79997,1.79615,1.79847,0,0
2014-11-10,19:00:00,1.7989,1.80019,1.79875,1.79929,0,0
2014-11-10,20:00:00,1.79981,1.80279,1.79916,1.80241,0,0
2014-11-10,21:00:00,1.80262,1.80408,1.80235,1.80348,0,0
2014-11-10,22:00:00,1.80343,1.80403,1.80228,1.80245,0,0
2014-11-10,23:00:00,1.80254,1.80349,1.80181,1.80264,0,0
2014-11-10,23:59:00,1.80259,1.80289,1.80187,1.80214,0,0
2014-11-11,01:00:00,1.80214,1.80273,1.80189,1.80202,0,0
2014-11-11,02:00:00,1.80209,1.80311,1.80167,1.80272,0,0
2014-11-11,03:00:00,1.80277,1.80379,1.80228,1.80247,0,0
2014-11-11,04:00:00,1.80253,1.80283,1.80221,1.80224,0,0
2014-11-11,05:00:00,1.80222,1.80345,1.80202,1.80342,0,0
2014-11-11,06:00:00,1.80342,1.80379,1.80281,1.80292,0,0
2014-11-11,07:00:00,1.80295,1.80323,1.80245,1.80278,0,0
2014-11-11,08:00:00,1.80278,1.80347,1.80248,1.80345,0,0
2014-11-11,09:00:00,1.80356,1.80442,1.8026,1.80356,0,0
